,pais,proyeccion_2021,porcentaje,CMA,CAAP,PCMATA,AED,CMR
86,Grecia Grecia,10 702 000,"0,14","-0,10",-11 000,-,-,10 718 565
87,República Dominicana República Dominicana,10 536 000,"0,13","0,89",94 000,"0,10",78,10 535 535
88,Suecia Suecia,10 411 000,"0,13","0,70",73 000,"0,08",99,10 380 491
89, Portugal,10 251 000,"0,13","-0,29",-30 000,-,-,10 295 909
90,Azerbaiyán Azerbaiyán,10 150 000,"0,13","0,67",68 000,"0,07",103,10 122 148
91,Emiratos Árabes Unidos Emiratos Árabes Unidos,9 991 000,"0,13","1,95",194 000,"0,20",36,9 991 000
92,Hungría Hungría,9 723 000,"0,12","-0,17",-17 000,-,-,9 731 000
93, Tayikistán,9 601 000,"0,12","2,05",197 000,"0,21",34,9 313 800
94,Honduras Honduras,9 451 000,"0,12","1,57",149 000,"0,16",44,9 450 711
95,Israel Israel,9 393 000,"0,12","1,91",180 000,"0,19",37,9 305 000
96,Bielorrusia Bielorrusia,9 385 000,"0,12","-0,11",-10 000,-,-,9 397 800
97,Papúa Nueva Guinea Papúa Nueva Guinea,9 123 000,"0,12","2,29",209 000,"0,22",31,9 122 994
98,Austria Austria,8 963 000,"0,11","0,67",60 000,"0,06",104,8 933 346
99,Suiza Suiza,8 719 000,"0,11","0,98",85 000,"0,09",71,8 655 100
100,Sierra Leona Sierra Leona,8 298 000,"0,11","3,13",260 000,"0,27",22,8 297 882
101, Togo,7 886 000,"0,10","2,72",215 000,"0,23",26,7 886 000
102,Hong Kong Hong Kong (China)[23]​,7 467 000,"0,10","-0,20",-15 000,-,-,7 474 200
103,Paraguay Paraguay,7 353 000,"0,09","1,38",102 000,"0,11",50,7 353 038
104,Laos Laos,7 338 000,"0,09","1,64",121 000,"0,13",43,7 337 783
105,Libia Libia,6 959 000,"0,09","1,37",95 000,"0,10",51,6 959 000
106,Bulgaria Bulgaria,6 882 000,"0,09","-0,67",-46 000,-,-,6 951 482
107,Serbia Serbia,6 881 000,"0,09","-0,45",-31 000,-,-,6 926 705
108,El Salvador El Salvador,6 826 000,"0,09","0,89",61 000,"0,06",78,6 825 935
109,Líbano Líbano[24]​,6 769 000,"0,09","4,45",301 000,"0,32",16,6 769 000
110,Kirguistán Kirguistán,6 695 000,"0,09","1,82",122 000,"0,13",38,6 645 500
111,Nicaragua Nicaragua,6 665 000,"0,09","1,04",69 000,"0,07",67,6 527 691
112, Turkmenistán,6 118 000,"0,08","1,71",105 000,"0,11",41,6 118 000
113,Dinamarca Dinamarca,5 854 000,"0,08","0,49",29 000,"0,03",142,5 840 045
114,Singapur Singapur[25]​,5 668 000,"0,07","-0,31",-18 000,-,-,5 685 807
115,República del Congo República del Congo,5 657 000,"0,07","3,05",172 000,"0,18",23,5 657 000
116,Finlandia Finlandia,5 510 000,"0,07","0,10",6 000,"0,01",690,5 508 198
117,Eslovaquia Eslovaquia,5 463 000,"0,07","0,12",7 000,"0,01",577,5 459 781
118,Noruega Noruega,5 407 000,"0,07","0,60",32 000,"0,03",116,5 391 369
119,Palestina Palestina[26]​,5 227 000,"0,07","2,52",132 000,"0,14",28,5 227 193
120,Costa Rica Costa Rica,5 163 000,"0,07","1,01",52 000,"0,05",69,5 163 038
121,Nueva Zelanda Nueva Zelanda,5 161 000,"0,07","1,89",98 000,"0,10",37,5 112 300
122, Irlanda,5 048 000,"0,06","1,13",57 000,"0,06",61,4 977 400
123,República Centroafricana República Centroafricana,4 920 000,"0,06","1,34",66 000,"0,07",52,4 920 000
124,Liberia Liberia,4 661 000,"0,06","2,23",104 000,"0,11",31,4 661 010
125,Kuwait Kuwait,4 562 000,"0,06","1,45",66 000,"0,07",48,4 464 521
126,Omán Omán,4 560 000,"0,06","4,83",220 000,"0,23",15,4 502 492
127,Panamá Panamá,4 339 000,"0,06","1,41",61 000,"0,06",49,4 278 500
128,Mauritania Mauritania,4 271 000,"0,05","2,31",98 000,"0,10",30,4 271 197
129,Croacia Croacia,4 082 000,"0,05","-0,47",-19 000,-,-,4 082 000
130,Georgia Georgia[27]​,3 716 000,"0,05","-0,02",-1 000,-,-,3 716 858
131,Eritrea Eritrea,3 601 000,"0,05","1,34",48 000,"0,05",52,3 601 000
132,Uruguay Uruguay,3 555 000,"0,05","0,44",16 000,"0,02",158,3 554 915
133,Bosnia y Herzegovina Bosnia y Herzegovina,3 263 000,"0,04","-0,96",-31 000,-,-,3 263 000
134, Mongolia,3 213 000,"0,04","0,34",11 000,"0,01",206,3 303 000
135,Puerto Rico Puerto Rico (EE. UU.)[28]​,3 191 000,"0,04","-0,05",-1 000,-,-,3 193 694
136,Armenia Armenia,2 964 000,"0,04","-0,19",-6 000,-,-,2 967 900
137,Albania Albania,2 829 000,"0,04","-0,40",-11 000,-,-,2 845 955
138,Lituania Lituania,2 783 000,"0,04","-0,74",-21 000,-,-,2 790 044
139,Catar Catar,2 763 000,"0,04","2,27",63 000,"0,07",31,2 717 360
140, Jamaica,2 736 000,"0,04","0,05",1 000,"0,00",1 460,2 734 093
141,Moldavia Moldavia,2 553 000,"0,03","-2,23",-57 000,-,-,2 640 438
142,Namibia Namibia,2 550 000,"0,03","1,93",49 000,"0,05",36,2 550 226
143,Botsuana Botsuana,2 410 000,"0,03","1,78",43 000,"0,05",39,2 410 338
144,Gambia Gambia,2 294 000,"0,03","2,91",67 000,"0,07",24,2 229 200
145,Gabón Gabón,2 233 000,"0,03","2,22",50 000,"0,05",32,2 233 272
146, Eslovenia,2 110 000,"0,03","0,27",6 000,"0,01",253,2 111 461
147,Lesoto Lesoto,2 079 000,"0,03","0,67",14 000,"0,01",103,2 007 201
148,Macedonia Macedonia del Norte,2 077 000,"0,03","0,02",0,"0,00",3 014,2 076 255
149,Letonia Letonia,1 885 000,"0,02","-0,80",-15 000,-,-,1 891 300
150,Kosovo Kosovo[29]​,1 782 000,"0,02","0,01",0,"0,00",5 160,1 782 115
151,Guinea-Bisáu Guinea-Bisáu,1 646 000,"0,02","1,77",29 000,"0,03",39,1 646 077
152,Baréin Baréin,1 540 000,"0,02","2,00",31 000,"0,03",35,1 501 635
153,Guinea Ecuatorial Guinea Ecuatorial,1 505 000,"0,02","3,48",52 000,"0,05",20,1 454 789
154,Trinidad y Tobago Trinidad y Tobago,1 371 000,"0,02","0,30",4 000,"0,00",229,1 366 725
155,Estonia Estonia,1 331 000,"0,02","0,30",4 000,"0,00",234,1 329 460
156,Timor Oriental Timor Oriental,1 318 000,"0,02","1,95",26 000,"0,03",36,1 317 780
157, Mauricio,1 268 000,"0,02","0,24",3 000,"0,00",285,1 266 030
158,Yibuti Yibuti,1 139 000,"0,01","2,78",32 000,"0,03",25,1 108 567
159,Suazilandia Suazilandia (o Esuatini),1 126 000,"0,01","0,71",8 000,"0,01",98,1 093 238
160,Chipre Chipre,906 000,"0,01","1,37",12 000,"0,01",51,888 005
161,Fiyi Fiyi,898 000,"0,01","0,51",5 000,"0,01",136,898 402
162, Reunión (Francia),873 000,"0,01","0,50",4 000,"0,00",139,853 700
163,Comoras Comoras,812 000,"0,01","1,95",16 000,"0,02",36,758 316
164,Guyana Guyana,790 000,"0,01","0,27",2 000,"0,00",259,790 000
165,Bután Bután,756 000,"0,01","1,09",8 000,"0,01",64,756 129
166,Islas Salomón Islas Salomón,728 000,"0,01","3,01",22 000,"0,02",23,728 041
167,Macao Macao (China)[30]​,687 000,"0,01","1,11",8 000,"0,01",63,683 100
168,Luxemburgo Luxemburgo,645 000,"0,01","1,99",13 000,"0,01",35,626 108
169,Montenegro Montenegro,622 000,"0,01","-0,04",0,"0,00",-,621 873
170,República Árabe Saharaui Democrática República Árabe Saharaui Democrática,612 000,"0,01","2,32",14 000,"0,01",30,612 000
171,Surinam Surinam,592 000,"0,01","1,09",6 000,"0,01",64,592 000
172,Cabo Verde Cabo Verde,563 000,"0,01","1,14",6 000,"0,01",61,563 198
173,Malta Malta,548 000,"0,01","4,26",23 000,"0,02",17,514 564
174,Brunéi Brunéi,496 000,"0,01","3,87",19 000,"0,02",18,459 500
175,Belice Belice,430 000,"0,01","2,56",11 000,"0,01",27,419 199
176,Maldivas Maldivas,394 000,"0,01","1,82",7 000,"0,01",39,383 135
177,Bahamas Bahamas,393 000,"0,01","1,02",4 000,"0,00",69,393 450
178,Guadalupe Guadalupe (Francia),386 000,"0,00","-0,24",-1 000,-,-,390 253
179,Islandia Islandia,372 000,"0,00","1,91",7 000,"0,01",37,368 590
180,Martinica Martinica (Francia),363 000,"0,00","-0,59",-2 000,-,-,372 594
181,Vanuatu Vanuatu,301 000,"0,00","2,20",7 000,"0,01",32,301 295
182,Guayana Francesa Guayana Francesa,300 000,"0,00","2,45",7 000,"0,01",29,268 700
183, Mayotte (Francia),296 000,"0,00","3,79",11 000,"0,01",19,256 518
184,Barbados Barbados,288 000,"0,00","0,33",1 000,"0,00",213,288 000
185,Polinesia Francesa Polinesia Francesa,280 000,"0,00","0,48",1 000,"0,00",144,279 890
186,Nueva Caledonia Nueva Caledonia (Francia),274 000,"0,00","0,26",1 000,"0,00",262,273 674
187, Santo Tomé y Príncipe,215 000,"0,00","2,26",5 000,"0,01",31,214 610
188,Samoa Samoa,200 000,"0,00","0,65",1 000,"0,00",108,199 853
189,Santa Lucía Santa Lucía,184 000,"0,00","0,76",1 000,"0,00",92,184 000
190,Guam Guam (EE. UU.),178 000,"0,00","0,67",1 000,"0,00",104,178 306
191,Curazao Curazao (PB),157 000,"0,00","0,42",1 000,"0,00",165,156 223
192,Kiribati Kiribati,121 000,"0,00","1,50",2 000,"0,00",47,120 740
193,Aruba Aruba (PB),113 000,"0,00","0,98",1 000,"0,00",71,111 904
194,Granada Granada,113 000,"0,00","0,46",1 000,"0,00",153,113 000
195,San Vicente y las Granadinas San Vicente y las Granadinas,111 000,"0,00","0,08",0,"0,00",874,110 696
196,Jersey Jersey (RU),110 000,"0,00","1,11",1 000,"0,00",63,107 800
197,Micronesia Micronesia,106 000,"0,00","0,25",0,"0,00",279,105 754
198, Islas Vírgenes de los Estados Unidos,104 000,"0,00","-0,20",0,"0,00",-,104 000
199,Seychelles Seychelles,100 000,"0,00","1,26",1 000,"0,00",56,98 462
200, Tonga,100 000,"0,00","-0,38",0,"0,00",-,99 532
201,Antigua y Barbuda Antigua y Barbuda,99 000,"0,00","1,27",1 000,"0,00",55,99 000
202,Isla de Man Isla de Man (RU),82 000,"0,00","-0,28",0,"0,00",-,83 314
203,Andorra Andorra,78 000,"0,00","1,21",1 000,"0,00",58,78 015
204,Dominica Dominica,72 000,"0,00","0,04",0,"0,00",1 904,72 000
205, Islas Caimán (RU),66 000,"0,00","1,68",1 000,"0,00",42,64 958
206,Bermudas Bermudas (RU),64 000,"0,00","-0,15",0,"0,00",-,64 055
207, Guernsey (RU),63 000,"0,00","0,27",0,"0,00",253,63 155
208,Islas Marianas del Norte Islas Marianas del Norte (EE. UU.),57 000,"0,00","-0,93",-1 000,-,-,56 801
209,Samoa Americana Samoa Americana (EE. UU.),57 000,"0,00","-0,03",0,"0,00",-,56 951
210,Groenlandia Groenlandia (Dinamarca),56 000,"0,00","0,00",0,"0,00",-,56 421
211,Islas Marshall Islas Marshall,55 000,"0,00","0,32",0,"0,00",219,54 516
212,San Cristóbal y Nieves San Cristóbal y Nieves,54 000,"0,00","0,76",0,"0,00",91,54 000
213,Islas Feroe Islas Feroe (Dinamarca),53 000,"0,00","0,58",0,"0,00",121,53 022
214, Islas Turcas y Caicos (RU),47 000,"0,00","4,37",2 000,"0,00",16,42 953
215, San Martín (PB),45 000,"0,00","2,85",1 000,"0,00",25,40 614
216,Liechtenstein Liechtenstein,39 000,"0,00","0,73",0,"0,00",96,39 062
217,Mónaco Mónaco,38 000,"0,00","0,59",0,"0,00",118,38 100
218, Gibraltar (RU)[31]​,34 000,"0,00","0,50",0,"0,00",140,34 000
219, San Marino,34 000,"0,00","0,42",0,"0,00",165,33 600
220, San Martín (Francia),34 000,"0,00","-0,29",0,"0,00",-,34 065
221,Åland Åland (Finlandia),30 000,"0,00","0,78",0,"0,00",89,30 152
222, Islas Vírgenes Británicas (RU),30 000,"0,00","1,29",0,"0,00",54,30 000
223, Caribe Neerlandés (PB),26 000,"0,00","2,09",1 000,"0,00",33,25 157
224,Palaos Palaos,18 000,"0,00","0,29",0,"0,00",236,17 957
225,Anguila Anguila (RU),15 000,"0,00","1,30",0,"0,00",54,15 000
226,Islas Cook Islas Cook (NZ),15 000,"0,00","0,79",0,"0,00",89,15 342
227,Nauru Nauru,12 000,"0,00","1,67",0,"0,00",42,11 832
228,San Bartolomé San Bartolomé (Francia),11 000,"0,00","1,71",0,"0,00",41,10 124
229, Tuvalu,11 000,"0,00","0,04",0,"0,00",1 640,10 679
230, Wallis y Futuna (Francia),11 000,"0,00","-0,94",0,"0,00",-,11 369
231, San Pedro y Miquelón (Francia),6 000,"0,00","-0,19",0,"0,00",-,5 985
232,"Santa Elena, Ascensión y Tristán de Acuña Santa Elena, Ascensión y Tristán de Acuña (RU)",6 000,"0,00","1,60",0,"0,00",44,5 633
